,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TIME TABLE: B.Tech CSE VI D (2024-25 EVEN SEMESTER),,,,,,,,,,,,
ROOM NO: C-302,,,,,,W.E.F.: 3 Feb 2025 ,,,,,,
DAY \ TIME,09:00-9:55,9:55-10:50,10:50-11:00,11:00-11:50,11:50-12:40,12:40-1:10,1:10-2:00,2:00-2:50,2:50-3:40,3:40-4:30,,
MONDAY,PCS-601 (CD LAB G1+G2/L3),,BREAK,TCS-601,TCS-604,LUNCH,PCS 693 (Web-D LAB G1+ G2/L3),,,LIBRARY,,
,PM,,,AC,AA,,SP,,,,,
TUESDAY,TCS-604,XCS-601,,TCS-619,TCS-611,,PESE 600 (PDP LAB G1 + G2),,MOOC/ SEMINAR,,,
,AA,LS,,AB,Online,,LS,,,,,
WEDNESDAY,TCS-619,TCS-604,,TCS-601,TCS 693,,Placement Classes,,,,,
,AB,AA,,AC,SP,,AK + RS,,,,,
THURSDAY,TCS-619,XCS-601,,TCS 693,TCS-611,,,,,,,
,AB,NB,,SP,Online,,,,,,,
FRIDAY,PCS-611 (SE LAB G1/L4+ G2/L5),,,TCS-601,TCS 693,,TCS-611,Placement Classes,,,,
,AB,,,AC,SP,,Online,AK + RS,,,,
,,,,,,,Mr. Aviral Awasthi,,,,,
,,,,,,,,,CO-ORDINATOR,,,
Subject,,,Code,Faculty Name & Code,,,,,,,,
Compiler Design,,,TCS-601,Mr. Akshay Choudhary,,AC,,,,,,
Software Engineering (Online),,,TCS-611,Mr. Anubhav Bewerval,,AB,,,,,,
Computer Networks-I,,,TCS-604,Mr. Aviral Awashthi,,AA,,,,,,
Full Stack Web Development,,,TCS 693,Ms. Senam Pandey,,SP,,,,,,
Network and system security,,,TCS-619,Mr. Anubhav Bewerval,,AB,,,,,,
Compiler Design Lab,,,PCS-601,Mr. Parthak Mehra,,PM,,,,,,
Software Engineering Lab,,,PCS611,Mr. Anubhav Bewerval,,AB,,,,,,
Web Development Lab,,,PCS 693,Ms. Senam Pandey ,,SP,,,,,,
Career Skills,,,XCS-601,Mr. Lalit Singh + Mr. Narendra Bisht,,LS + NB,,,,,,
Practical for Employability Skill Enhancement,,,PESE 600,Mr. Lalit Singh,,LS,,,,,,
Mini Project,,,CSP-601,Mr. Aviral Awasthi,,AA,,,,,,
MOOCS Seminar,,,SCS-601,Mr. Aviral Awasthi,,AA,,,,,,
Placement Classes,,,,Mr. Ayush Kapri + Mr. Rahul Singh,,AK+RS,,,,,,
,,,,,,,,,,,,
Time Table Coordinator (BTech & SOC),,,,,,,,,,,,
